JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]
Loaded config from: /home/kraghavan/projects/ContLearn/runs__/configs/synthetic_graph_10task_condition4_awb_full.json
Problem type: classification
Dataset: synthetic_taskshift
Tasks: 10
AWB enabled: True
Output directory: /home/kraghavan/projects/ContLearn/runs__/experiments/synthetic_graph/results/synthetic_graph_10task_condition4_awb_full_run2
Model path: /home/kraghavan/projects/ContLearn/runs__/experiments/synthetic_graph/results/synthetic_graph_10task_condition4_awb_full_run2/synthetic_graph_10task_condition4_awb_full_run2
############################################################
# Run ID: 2
############################################################
Task-Shift Synthetic Graph Dataset:
====================================
Total graphs: 1000
Train/Test split: 80%/20%
Number of features: 10
Number of classes: 5
Task-shift enabled: True
  Feature noise base: 0.1
  Edge dropout base: 0.05
  Feature shift base: 0.05
============================================================
Task 0
============================================================
Task 0 (training): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=800, memory=800
Task 0 (testing): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=200, memory=800
Task 0 (testing): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=200, memory=800
Standard CL training (lr=0.001000, adaptive_lr_min=1.00e-06, loss_ratio=1.00)
  0%|          | 0/400 [00:00<?, ?it/s]
  0%|          | 1/400 [01:53<12:32:18, 113.13s/it]
  0%|          | 1/400 [01:56<12:32:18, 113.13s/it, CE=1.999799e+00 H=1.999568e+00 dV_dx=0.000000e+00 dV_dθ=-2.308827e-04 ||∇||=3.207113e+01 | Tr=0.2163]
 50%|████▉     | 198/400 [13:54<11:57,  3.55s/it, CE=1.052289e+00 H=1.052126e+00 dV_dx=0.000000e+00 dV_dθ=-1.633766e-04 ||∇||=3.709006e+01 | Tr=0.5493]
 50%|████▉     | 198/400 [13:59<11:57,  3.55s/it, CE=1.046449e+00 H=1.046287e+00 dV_dx=0.000000e+00 dV_dθ=-1.619968e-04 ||∇||=3.629561e+01 | Tr=0.5529]
 50%|████▉     | 199/400 [13:59<12:32,  3.74s/it, CE=1.046449e+00 H=1.046287e+00 dV_dx=0.000000e+00 dV_dθ=-1.619968e-04 ||∇||=3.629561e+01 | Tr=0.5529]
 50%|████▉     | 199/400 [14:02<12:32,  3.74s/it, CE=1.056634e+00 H=1.056466e+00 dV_dx=0.000000e+00 dV_dθ=-1.685370e-04 ||∇||=3.794874e+01 | Tr=0.5457]
 50%|█████     | 200/400 [14:02<12:12,  3.66s/it, CE=1.056634e+00 H=1.056466e+00 dV_dx=0.000000e+00 dV_dθ=-1.685370e-04 ||∇||=3.794874e+01 | Tr=0.5457]
 50%|█████     | 200/400 [14:06<12:12,  3.66s/it, CE=1.034336e+00 H=1.034176e+00 dV_dx=0.000000e+00 dV_dθ=-1.603672e-04 ||∇||=3.686539e+01 | Tr=0.5541 Te/Cur=0.4062 Te/Exp=0.5156]
 50%|█████     | 201/400 [14:06<12:23,  3.74s/it, CE=1.034336e+00 H=1.034176e+00 dV_dx=0.000000e+00 dV_dθ=-1.603672e-04 ||∇||=3.686539e+01 | Tr=0.5541 Te/Cur=0.4062 Te/Exp=0.5156]
 50%|█████     | 201/400 [14:09<12:23,  3.74s/it, CE=1.039442e+00 H=1.039282e+00 dV_dx=0.000000e+00 dV_dθ=-1.598204e-04 ||∇||=3.623760e+01 | Tr=0.5601]                            
 50%|█████     | 202/400 [14:09<12:02,  3.65s/it, CE=1.039442e+00 H=1.039282e+00 dV_dx=0.000000e+00 dV_dθ=-1.598204e-04 ||∇||=3.623760e+01 | Tr=0.5601]
 50%|█████     | 202/400 [14:13<12:02,  3.65s/it, CE=1.048826e+00 H=1.048659e+00 dV_dx=0.000000e+00 dV_dθ=-1.670097e-04 ||∇||=3.798078e+01 | Tr=0.5469]
 51%|█████     | 203/400 [14:13<11:52,  3.62s/it, CE=1.048826e+00 H=1.048659e+00 dV_dx=0.000000e+00 dV_dθ=-1.670097e-04 ||∇||=3.798078e+01 | Tr=0.5469]
 51%|█████     | 203/400 [14:17<11:52,  3.62s/it, CE=1.047759e+00 H=1.047609e+00 dV_dx=0.000000e+00 dV_dθ=-1.500872e-04 ||∇||=3.355348e+01 | Tr=0.5577]
 51%|█████     | 204/400 [14:17<12:40,  3.88s/it, CE=1.047759e+00 H=1.047609e+00 dV_dx=0.000000e+00 dV_dθ=-1.500872e-04 ||∇||=3.355348e+01 | Tr=0.5577]
 51%|█████     | 204/400 [14:21<12:40,  3.88s/it, CE=1.048182e+00 H=1.048023e+00 dV_dx=0.000000e+00 dV_dθ=-1.587120e-04 ||∇||=3.604340e+01 | Tr=0.5589]
 51%|█████▏    | 205/400 [14:21<12:35,  3.87s/it, CE=1.048182e+00 H=1.048023e+00 dV_dx=0.000000e+00 dV_dθ=-1.587120e-04 ||∇||=3.604340e+01 | Tr=0.5589]
 51%|█████▏    | 205/400 [14:25<12:35,  3.87s/it, CE=1.024847e+00 H=1.024702e+00 dV_dx=0.000000e+00 dV_dθ=-1.448395e-04 ||∇||=3.277344e+01 | Tr=0.5601]
 52%|█████▏    | 206/400 [14:25<12:34,  3.89s/it, CE=1.024847e+00 H=1.024702e+00 dV_dx=0.000000e+00 dV_dθ=-1.448395e-04 ||∇||=3.277344e+01 | Tr=0.5601]
 52%|█████▏    | 206/400 [14:29<12:34,  3.89s/it, CE=1.029697e+00 H=1.029544e+00 dV_dx=0.000000e+00 dV_dθ=-1.529147e-04 ||∇||=3.455939e+01 | Tr=0.5745]
 52%|█████▏    | 207/400 [14:29<12:39,  3.93s/it, CE=1.029697e+00 H=1.029544e+00 dV_dx=0.000000e+00 dV_dθ=-1.529147e-04 ||∇||=3.455939e+01 | Tr=0.5745]
 52%|█████▏    | 207/400 [14:33<12:39,  3.93s/it, CE=1.028416e+00 H=1.028260e+00 dV_dx=0.000000e+00 dV_dθ=-1.564442e-04 ||∇||=3.580033e+01 | Tr=0.5685]
 52%|█████▏    | 208/400 [14:33<12:09,  3.80s/it, CE=1.028416e+00 H=1.028260e+00 dV_dx=0.000000e+00 dV_dθ=-1.564442e-04 ||∇||=3.580033e+01 | Tr=0.5685]
 52%|█████▏    | 208/400 [14:39<12:09,  3.80s/it, CE=1.033324e+00 H=1.033157e+00 dV_dx=0.000000e+00 dV_dθ=-1.678587e-04 ||∇||=3.866248e+01 | Tr=0.5673]
 52%|█████▏    | 209/400 [14:39<14:50,  4.66s/it, CE=1.033324e+00 H=1.033157e+00 dV_dx=0.000000e+00 dV_dθ=-1.678587e-04 ||∇||=3.866248e+01 | Tr=0.5673]
 52%|█████▏    | 209/400 [14:44<14:50,  4.66s/it, CE=1.044560e+00 H=1.044373e+00 dV_dx=0.000000e+00 dV_dθ=-1.865317e-04 ||∇||=4.231458e+01 | Tr=0.5481]
 52%|█████▎    | 210/400 [14:44<15:08,  4.78s/it, CE=1.044560e+00 H=1.044373e+00 dV_dx=0.000000e+00 dV_dθ=-1.865317e-04 ||∇||=4.231458e+01 | Tr=0.5481]
 52%|█████▎    | 210/400 [14:49<15:08,  4.78s/it, CE=1.062252e+00 H=1.062071e+00 dV_dx=0.000000e+00 dV_dθ=-1.805782e-04 ||∇||=4.080351e+01 | Tr=0.5361]
 53%|█████▎    | 211/400 [14:49<14:29,  4.60s/it, CE=1.062252e+00 H=1.062071e+00 dV_dx=0.000000e+00 dV_dθ=-1.805782e-04 ||∇||=4.080351e+01 | Tr=0.5361]
 53%|█████▎    | 211/400 [14:53<14:29,  4.60s/it, CE=1.062306e+00 H=1.062143e+00 dV_dx=0.000000e+00 dV_dθ=-1.626266e-04 ||∇||=3.652084e+01 | Tr=0.5409]
 53%|█████▎    | 212/400 [14:53<14:31,  4.63s/it, CE=1.062306e+00 H=1.062143e+00 dV_dx=0.000000e+00 dV_dθ=-1.626266e-04 ||∇||=3.652084e+01 | Tr=0.5409]
 53%|█████▎    | 212/400 [14:57<14:31,  4.63s/it, CE=1.052169e+00 H=1.052006e+00 dV_dx=0.000000e+00 dV_dθ=-1.631589e-04 ||∇||=3.677260e+01 | Tr=0.5457]
 53%|█████▎    | 213/400 [14:57<13:44,  4.41s/it, CE=1.052169e+00 H=1.052006e+00 dV_dx=0.000000e+00 dV_dθ=-1.631589e-04 ||∇||=3.677260e+01 | Tr=0.5457]
 53%|█████▎    | 213/400 [15:02<13:44,  4.41s/it, CE=1.021837e+00 H=1.021686e+00 dV_dx=0.000000e+00 dV_dθ=-1.506167e-04 ||∇||=3.397292e+01 | Tr=0.5625]
 54%|█████▎    | 214/400 [15:02<13:48,  4.46s/it, CE=1.021837e+00 H=1.021686e+00 dV_dx=0.000000e+00 dV_dθ=-1.506167e-04 ||∇||=3.397292e+01 | Tr=0.5625]
 54%|█████▎    | 214/400 [15:06<13:48,  4.46s/it, CE=1.017167e+00 H=1.017010e+00 dV_dx=0.000000e+00 dV_dθ=-1.575140e-04 ||∇||=3.622327e+01 | Tr=0.5757]
 54%|█████▍    | 215/400 [15:06<13:11,  4.28s/it, CE=1.017167e+00 H=1.017010e+00 dV_dx=0.000000e+00 dV_dθ=-1.575140e-04 ||∇||=3.622327e+01 | Tr=0.5757]
 54%|█████▍    | 215/400 [15:10<13:11,  4.28s/it, CE=1.014186e+00 H=1.014031e+00 dV_dx=0.000000e+00 dV_dθ=-1.548355e-04 ||∇||=3.548352e+01 | Tr=0.5805]
 54%|█████▍    | 216/400 [15:10<12:57,  4.22s/it, CE=1.014186e+00 H=1.014031e+00 dV_dx=0.000000e+00 dV_dθ=-1.548355e-04 ||∇||=3.548352e+01 | Tr=0.5805]
 54%|█████▍    | 216/400 [15:14<12:57,  4.22s/it, CE=1.021975e+00 H=1.021816e+00 dV_dx=0.000000e+00 dV_dθ=-1.595856e-04 ||∇||=3.654784e+01 | Tr=0.5709]
 54%|█████▍    | 217/400 [15:14<12:40,  4.15s/it, CE=1.021975e+00 H=1.021816e+00 dV_dx=0.000000e+00 dV_dθ=-1.595856e-04 ||∇||=3.654784e+01 | Tr=0.5709]
 54%|█████▍    | 217/400 [15:17<12:40,  4.15s/it, CE=1.046916e+00 H=1.046729e+00 dV_dx=0.000000e+00 dV_dθ=-1.871838e-04 ||∇||=4.289482e+01 | Tr=0.5529]
 55%|█████▍    | 218/400 [15:17<12:00,  3.96s/it, CE=1.046916e+00 H=1.046729e+00 dV_dx=0.000000e+00 dV_dθ=-1.871838e-04 ||∇||=4.289482e+01 | Tr=0.5529]
 55%|█████▍    | 218/400 [15:21<12:00,  3.96s/it, CE=1.048762e+00 H=1.048577e+00 dV_dx=0.000000e+00 dV_dθ=-1.841791e-04 ||∇||=4.192895e+01 | Tr=0.5625]
 55%|█████▍    | 219/400 [15:21<11:46,  3.90s/it, CE=1.048762e+00 H=1.048577e+00 dV_dx=0.000000e+00 dV_dθ=-1.841791e-04 ||∇||=4.192895e+01 | Tr=0.5625]
 55%|█████▍    | 219/400 [15:25<11:46,  3.90s/it, CE=9.886691e-01 H=9.885549e-01 dV_dx=0.000000e+00 dV_dθ=-1.141897e-04 ||∇||=2.524403e+01 | Tr=0.5986]
 55%|█████▌    | 220/400 [15:25<11:32,  3.85s/it, CE=9.886691e-01 H=9.885549e-01 dV_dx=0.000000e+00 dV_dθ=-1.141897e-04 ||∇||=2.524403e+01 | Tr=0.5986]
 55%|█████▌    | 220/400 [15:29<11:32,  3.85s/it, CE=9.954190e-01 H=9.952745e-01 dV_dx=0.000000e+00 dV_dθ=-1.444277e-04 ||∇||=3.276228e+01 | Tr=0.5950]
 55%|█████▌    | 221/400 [15:29<11:41,  3.92s/it, CE=9.954190e-01 H=9.952745e-01 dV_dx=0.000000e+00 dV_dθ=-1.444277e-04 ||∇||=3.276228e+01 | Tr=0.5950]
 55%|█████▌    | 221/400 [15:32<11:41,  3.92s/it, CE=1.008573e+00 H=1.008402e+00 dV_dx=0.000000e+00 dV_dθ=-1.705833e-04 ||∇||=3.961140e+01 | Tr=0.5781]
 56%|█████▌    | 222/400 [15:32<11:18,  3.81s/it, CE=1.008573e+00 H=1.008402e+00 dV_dx=0.000000e+00 dV_dθ=-1.705833e-04 ||∇||=3.961140e+01 | Tr=0.5781]
 56%|█████▌    | 222/400 [15:36<11:18,  3.81s/it, CE=1.011493e+00 H=1.011323e+00 dV_dx=0.000000e+00 dV_dθ=-1.701460e-04 ||∇||=3.921227e+01 | Tr=0.5781]
 56%|█████▌    | 223/400 [15:36<10:47,  3.66s/it, CE=1.011493e+00 H=1.011323e+00 dV_dx=0.000000e+00 dV_dθ=-1.701460e-04 ||∇||=3.921227e+01 | Tr=0.5781]
 56%|█████▌    | 223/400 [15:39<10:47,  3.66s/it, CE=1.035888e+00 H=1.035715e+00 dV_dx=0.000000e+00 dV_dθ=-1.725616e-04 ||∇||=3.931942e+01 | Tr=0.5565]
 56%|█████▌    | 224/400 [15:39<09:59,  3.41s/it, CE=1.035888e+00 H=1.035715e+00 dV_dx=0.000000e+00 dV_dθ=-1.725616e-04 ||∇||=3.931942e+01 | Tr=0.5565]
 56%|█████▌    | 224/400 [15:42<09:59,  3.41s/it, CE=1.040034e+00 H=1.039870e+00 dV_dx=0.000000e+00 dV_dθ=-1.636686e-04 ||∇||=3.650140e+01 | Tr=0.5505]
 56%|█████▋    | 225/400 [15:42<09:39,  3.31s/it, CE=1.040034e+00 H=1.039870e+00 dV_dx=0.000000e+00 dV_dθ=-1.636686e-04 ||∇||=3.650140e+01 | Tr=0.5505]
 56%|█████▋    | 225/400 [15:46<09:39,  3.31s/it, CE=9.916876e-01 H=9.915478e-01 dV_dx=0.000000e+00 dV_dθ=-1.397298e-04 ||∇||=3.209357e+01 | Tr=0.5901 Te/Cur=0.4141 Te/Exp=0.5898]
 56%|█████▋    | 226/400 [15:46<10:13,  3.52s/it, CE=9.916876e-01 H=9.915478e-01 dV_dx=0.000000e+00 dV_dθ=-1.397298e-04 ||∇||=3.209357e+01 | Tr=0.5901 Te/Cur=0.4141 Te/Exp=0.5898]
 56%|█████▋    | 226/400 [15:50<10:13,  3.52s/it, CE=9.778941e-01 H=9.777559e-01 dV_dx=0.000000e+00 dV_dθ=-1.381858e-04 ||∇||=3.171941e+01 | Tr=0.6118]                            
 57%|█████▋    | 227/400 [15:50<10:29,  3.64s/it, CE=9.778941e-01 H=9.777559e-01 dV_dx=0.000000e+00 dV_dθ=-1.381858e-04 ||∇||=3.171941e+01 | Tr=0.6118]
 57%|█████▋    | 227/400 [15:54<10:29,  3.64s/it, CE=9.946347e-01 H=9.944679e-01 dV_dx=0.000000e+00 dV_dθ=-1.667236e-04 ||∇||=3.841724e+01 | Tr=0.5805]
 57%|█████▋    | 228/400 [15:54<10:46,  3.76s/it, CE=9.946347e-01 H=9.944679e-01 dV_dx=0.000000e+00 dV_dθ=-1.667236e-04 ||∇||=3.841724e+01 | Tr=0.5805]
 57%|█████▋    | 228/400 [15:57<10:46,  3.76s/it, CE=1.006584e+00 H=1.006410e+00 dV_dx=0.000000e+00 dV_dθ=-1.742467e-04 ||∇||=4.014363e+01 | Tr=0.5589]
 57%|█████▋    | 229/400 [15:57<10:31,  3.69s/it, CE=1.006584e+00 H=1.006410e+00 dV_dx=0.000000e+00 dV_dθ=-1.742467e-04 ||∇||=4.014363e+01 | Tr=0.5589]
 57%|█████▋    | 229/400 [16:00<10:31,  3.69s/it, CE=1.024471e+00 H=1.024299e+00 dV_dx=0.000000e+00 dV_dθ=-1.725073e-04 ||∇||=3.955141e+01 | Tr=0.5757]
 57%|█████▊    | 230/400 [16:00<09:48,  3.46s/it, CE=1.024471e+00 H=1.024299e+00 dV_dx=0.000000e+00 dV_dθ=-1.725073e-04 ||∇||=3.955141e+01 | Tr=0.5757]
 57%|█████▊    | 230/400 [16:04<09:48,  3.46s/it, CE=9.740196e-01 H=9.738966e-01 dV_dx=0.000000e+00 dV_dθ=-1.230841e-04 ||∇||=2.783255e+01 | Tr=0.6082]
 58%|█████▊    | 231/400 [16:04<10:19,  3.66s/it, CE=9.740196e-01 H=9.738966e-01 dV_dx=0.000000e+00 dV_dθ=-1.230841e-04 ||∇||=2.783255e+01 | Tr=0.6082]
 58%|█████▊    | 231/400 [16:08<10:19,  3.66s/it, CE=9.602391e-01 H=9.601075e-01 dV_dx=0.000000e+00 dV_dθ=-1.315557e-04 ||∇||=3.008757e+01 | Tr=0.6058]
 58%|█████▊    | 232/400 [16:08<10:17,  3.68s/it, CE=9.602391e-01 H=9.601075e-01 dV_dx=0.000000e+00 dV_dθ=-1.315557e-04 ||∇||=3.008757e+01 | Tr=0.6058]
 58%|█████▊    | 232/400 [16:11<10:17,  3.68s/it, CE=9.736009e-01 H=9.734482e-01 dV_dx=0.000000e+00 dV_dθ=-1.527698e-04 ||∇||=3.525786e+01 | Tr=0.5974]
 58%|█████▊    | 233/400 [16:11<09:42,  3.49s/it, CE=9.736009e-01 H=9.734482e-01 dV_dx=0.000000e+00 dV_dθ=-1.527698e-04 ||∇||=3.525786e+01 | Tr=0.5974]
 58%|█████▊    | 233/400 [16:14<09:42,  3.49s/it, CE=9.701581e-01 H=9.700090e-01 dV_dx=0.000000e+00 dV_dθ=-1.490933e-04 ||∇||=3.436546e+01 | Tr=0.6010]
 58%|█████▊    | 234/400 [16:14<09:15,  3.35s/it, CE=9.701581e-01 H=9.700090e-01 dV_dx=0.000000e+00 dV_dθ=-1.490933e-04 ||∇||=3.436546e+01 | Tr=0.6010]
 58%|█████▊    | 234/400 [16:18<09:15,  3.35s/it, CE=9.569485e-01 H=9.568170e-01 dV_dx=0.000000e+00 dV_dθ=-1.314822e-04 ||∇||=3.021209e+01 | Tr=0.5986]
 59%|█████▉    | 235/400 [16:18<09:34,  3.48s/it, CE=9.569485e-01 H=9.568170e-01 dV_dx=0.000000e+00 dV_dθ=-1.314822e-04 ||∇||=3.021209e+01 | Tr=0.5986]
 59%|█████▉    | 235/400 [16:21<09:34,  3.48s/it, CE=9.611938e-01 H=9.610446e-01 dV_dx=0.000000e+00 dV_dθ=-1.491826e-04 ||∇||=3.420918e+01 | Tr=0.5974]
 59%|█████▉    | 236/400 [16:21<09:32,  3.49s/it, CE=9.611938e-01 H=9.610446e-01 dV_dx=0.000000e+00 dV_dθ=-1.491826e-04 ||∇||=3.420918e+01 | Tr=0.5974]
 59%|█████▉    | 236/400 [16:25<09:32,  3.49s/it, CE=9.672267e-01 H=9.670684e-01 dV_dx=0.000000e+00 dV_dθ=-1.582920e-04 ||∇||=3.696472e+01 | Tr=0.5974]
 59%|█████▉    | 237/400 [16:25<09:30,  3.50s/it, CE=9.672267e-01 H=9.670684e-01 dV_dx=0.000000e+00 dV_dθ=-1.582920e-04 ||∇||=3.696472e+01 | Tr=0.5974]
 59%|█████▉    | 237/400 [16:30<09:30,  3.50s/it, CE=9.912905e-01 H=9.911080e-01 dV_dx=0.000000e+00 dV_dθ=-1.824610e-04 ||∇||=4.242772e+01 | Tr=0.5974]
 60%|█████▉    | 238/400 [16:30<10:53,  4.03s/it, CE=9.912905e-01 H=9.911080e-01 dV_dx=0.000000e+00 dV_dθ=-1.824610e-04 ||∇||=4.242772e+01 | Tr=0.5974]
 60%|█████▉    | 238/400 [16:34<10:53,  4.03s/it, CE=1.000095e+00 H=9.999137e-01 dV_dx=0.000000e+00 dV_dθ=-1.811818e-04 ||∇||=4.194310e+01 | Tr=0.5817]
 60%|█████▉    | 239/400 [16:34<10:58,  4.09s/it, CE=1.000095e+00 H=9.999137e-01 dV_dx=0.000000e+00 dV_dθ=-1.811818e-04 ||∇||=4.194310e+01 | Tr=0.5817]
 60%|█████▉    | 239/400 [16:38<10:58,  4.09s/it, CE=9.904093e-01 H=9.902437e-01 dV_dx=0.000000e+00 dV_dθ=-1.655246e-04 ||∇||=3.716327e+01 | Tr=0.5901]
 60%|██████    | 240/400 [16:38<10:48,  4.05s/it, CE=9.904093e-01 H=9.902437e-01 dV_dx=0.000000e+00 dV_dθ=-1.655246e-04 ||∇||=3.716327e+01 | Tr=0.5901]
 60%|██████    | 240/400 [16:42<10:48,  4.05s/it, CE=1.020357e+00 H=1.020166e+00 dV_dx=0.000000e+00 dV_dθ=-1.910297e-04 ||∇||=4.306176e+01 | Tr=0.5805]
 60%|██████    | 241/400 [16:42<10:44,  4.05s/it, CE=1.020357e+00 H=1.020166e+00 dV_dx=0.000000e+00 dV_dθ=-1.910297e-04 ||∇||=4.306176e+01 | Tr=0.5805]
 60%|██████    | 241/400 [16:47<10:44,  4.05s/it, CE=1.056694e+00 H=1.056508e+00 dV_dx=0.000000e+00 dV_dθ=-1.859543e-04 ||∇||=4.158254e+01 | Tr=0.5337]
 60%|██████    | 242/400 [16:47<10:56,  4.16s/it, CE=1.056694e+00 H=1.056508e+00 dV_dx=0.000000e+00 dV_dθ=-1.859543e-04 ||∇||=4.158254e+01 | Tr=0.5337]
 60%|██████    | 242/400 [16:51<10:56,  4.16s/it, CE=1.014605e+00 H=1.014436e+00 dV_dx=0.000000e+00 dV_dθ=-1.688215e-04 ||∇||=3.844458e+01 | Tr=0.5793]
 61%|██████    | 243/400 [16:51<10:45,  4.11s/it, CE=1.014605e+00 H=1.014436e+00 dV_dx=0.000000e+00 dV_dθ=-1.688215e-04 ||∇||=3.844458e+01 | Tr=0.5793]
 61%|██████    | 243/400 [16:54<10:45,  4.11s/it, CE=9.686596e-01 H=9.685292e-01 dV_dx=0.000000e+00 dV_dθ=-1.304277e-04 ||∇||=2.820523e+01 | Tr=0.6082]
 61%|██████    | 244/400 [16:54<10:07,  3.90s/it, CE=9.686596e-01 H=9.685292e-01 dV_dx=0.000000e+00 dV_dθ=-1.304277e-04 ||∇||=2.820523e+01 | Tr=0.6082]
 61%|██████    | 244/400 [16:59<10:07,  3.90s/it, CE=9.587433e-01 H=9.585930e-01 dV_dx=0.000000e+00 dV_dθ=-1.503419e-04 ||∇||=3.482181e+01 | Tr=0.6010]
 61%|██████▏   | 245/400 [16:59<10:51,  4.20s/it, CE=9.587433e-01 H=9.585930e-01 dV_dx=0.000000e+00 dV_dθ=-1.503419e-04 ||∇||=3.482181e+01 | Tr=0.6010]
 61%|██████▏   | 245/400 [17:03<10:51,  4.20s/it, CE=9.938959e-01 H=9.937119e-01 dV_dx=0.000000e+00 dV_dθ=-1.840270e-04 ||∇||=4.264562e+01 | Tr=0.5805]
 62%|██████▏   | 246/400 [17:03<11:00,  4.29s/it, CE=9.938959e-01 H=9.937119e-01 dV_dx=0.000000e+00 dV_dθ=-1.840270e-04 ||∇||=4.264562e+01 | Tr=0.5805]
 62%|██████▏   | 246/400 [17:07<11:00,  4.29s/it, CE=1.008209e+00 H=1.008015e+00 dV_dx=0.000000e+00 dV_dθ=-1.937312e-04 ||∇||=4.472433e+01 | Tr=0.5673]
 62%|██████▏   | 247/400 [17:07<10:32,  4.13s/it, CE=1.008209e+00 H=1.008015e+00 dV_dx=0.000000e+00 dV_dθ=-1.937312e-04 ||∇||=4.472433e+01 | Tr=0.5673]
 62%|██████▏   | 247/400 [17:11<10:32,  4.13s/it, CE=1.010981e+00 H=1.010792e+00 dV_dx=0.000000e+00 dV_dθ=-1.886409e-04 ||∇||=4.358408e+01 | Tr=0.5829]
 62%|██████▏   | 248/400 [17:11<10:15,  4.05s/it, CE=1.010981e+00 H=1.010792e+00 dV_dx=0.000000e+00 dV_dθ=-1.886409e-04 ||∇||=4.358408e+01 | Tr=0.5829]
 62%|██████▏   | 248/400 [17:14<10:15,  4.05s/it, CE=9.442481e-01 H=9.441420e-01 dV_dx=0.000000e+00 dV_dθ=-1.060485e-04 ||∇||=2.340469e+01 | Tr=0.6334]
 62%|██████▏   | 249/400 [17:14<09:37,  3.83s/it, CE=9.442481e-01 H=9.441420e-01 dV_dx=0.000000e+00 dV_dθ=-1.060485e-04 ||∇||=2.340469e+01 | Tr=0.6334]
 62%|██████▏   | 249/400 [17:18<09:37,  3.83s/it, CE=9.353855e-01 H=9.352453e-01 dV_dx=0.000000e+00 dV_dθ=-1.401475e-04 ||∇||=3.183848e+01 | Tr=0.6130]
 62%|██████▎   | 250/400 [17:18<09:13,  3.69s/it, CE=9.353855e-01 H=9.352453e-01 dV_dx=0.000000e+00 dV_dθ=-1.401475e-04 ||∇||=3.183848e+01 | Tr=0.6130]
 62%|██████▎   | 250/400 [17:21<09:13,  3.69s/it, CE=9.781672e-01 H=9.779845e-01 dV_dx=0.000000e+00 dV_dθ=-1.827086e-04 ||∇||=4.189930e+01 | Tr=0.5901 Te/Cur=0.3984 Te/Exp=0.5625]
 63%|██████▎   | 251/400 [17:21<09:04,  3.65s/it, CE=9.781672e-01 H=9.779845e-01 dV_dx=0.000000e+00 dV_dθ=-1.827086e-04 ||∇||=4.189930e+01 | Tr=0.5901 Te/Cur=0.3984 Te/Exp=0.5625]
 63%|██████▎   | 251/400 [17:25<09:04,  3.65s/it, CE=1.007894e+00 H=1.007699e+00 dV_dx=0.000000e+00 dV_dθ=-1.944582e-04 ||∇||=4.449365e+01 | Tr=0.5661]                            
 63%|██████▎   | 252/400 [17:25<09:08,  3.71s/it, CE=1.007894e+00 H=1.007699e+00 dV_dx=0.000000e+00 dV_dθ=-1.944582e-04 ||∇||=4.449365e+01 | Tr=0.5661]
 63%|██████▎   | 252/400 [17:29<09:08,  3.71s/it, CE=9.866845e-01 H=9.865073e-01 dV_dx=0.000000e+00 dV_dθ=-1.771491e-04 ||∇||=4.056230e+01 | Tr=0.5853]
 63%|██████▎   | 253/400 [17:29<09:05,  3.71s/it, CE=9.866845e-01 H=9.865073e-01 dV_dx=0.000000e+00 dV_dθ=-1.771491e-04 ||∇||=4.056230e+01 | Tr=0.5853]
 63%|██████▎   | 253/400 [17:32<09:05,  3.71s/it, CE=9.496497e-01 H=9.495290e-01 dV_dx=0.000000e+00 dV_dθ=-1.207400e-04 ||∇||=2.692756e+01 | Tr=0.6298]
 64%|██████▎   | 254/400 [17:32<08:28,  3.48s/it, CE=9.496497e-01 H=9.495290e-01 dV_dx=0.000000e+00 dV_dθ=-1.207400e-04 ||∇||=2.692756e+01 | Tr=0.6298]
 64%|██████▎   | 254/400 [17:36<08:28,  3.48s/it, CE=9.423952e-01 H=9.422503e-01 dV_dx=0.000000e+00 dV_dθ=-1.448609e-04 ||∇||=3.156183e+01 | Tr=0.6286]
 64%|██████▍   | 255/400 [17:36<08:50,  3.66s/it, CE=9.423952e-01 H=9.422503e-01 dV_dx=0.000000e+00 dV_dθ=-1.448609e-04 ||∇||=3.156183e+01 | Tr=0.6286]
 64%|██████▍   | 255/400 [17:39<08:50,  3.66s/it, CE=9.617379e-01 H=9.615707e-01 dV_dx=0.000000e+00 dV_dθ=-1.672098e-04 ||∇||=3.740245e+01 | Tr=0.6094]
 64%|██████▍   | 256/400 [17:39<08:39,  3.61s/it, CE=9.617379e-01 H=9.615707e-01 dV_dx=0.000000e+00 dV_dθ=-1.672098e-04 ||∇||=3.740245e+01 | Tr=0.6094]
 64%|██████▍   | 256/400 [17:43<08:39,  3.61s/it, CE=9.830673e-01 H=9.828825e-01 dV_dx=0.000000e+00 dV_dθ=-1.848591e-04 ||∇||=4.221476e+01 | Tr=0.5817]
 64%|██████▍   | 257/400 [17:43<08:15,  3.47s/it, CE=9.830673e-01 H=9.828825e-01 dV_dx=0.000000e+00 dV_dθ=-1.848591e-04 ||∇||=4.221476e+01 | Tr=0.5817]
 64%|██████▍   | 257/400 [17:46<08:15,  3.47s/it, CE=9.463651e-01 H=9.462353e-01 dV_dx=0.000000e+00 dV_dθ=-1.298301e-04 ||∇||=2.847801e+01 | Tr=0.6154]
 64%|██████▍   | 258/400 [17:46<08:27,  3.58s/it, CE=9.463651e-01 H=9.462353e-01 dV_dx=0.000000e+00 dV_dθ=-1.298301e-04 ||∇||=2.847801e+01 | Tr=0.6154]
