JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]
Loaded config from: /home/kraghavan/projects/ContLearn/runs__/configs/sine_noise_condition3_arch_no_transfer.json
Problem type: regression
Dataset: sine
Tasks: 5
AWB enabled: True
Output directory: /home/kraghavan/projects/ContLearn/runs__/experiments/sine_noise/results/sine_noise_condition3_arch_no_transfer_run2
Model path: /home/kraghavan/projects/ContLearn/runs__/experiments/sine_noise/results/sine_noise_condition3_arch_no_transfer_run2/sine_noise_condition3_arch_no_transfer_run2
############################################################
# Run ID: 2
############################################################
============================================================
Task 0
============================================================
  Note: Batch size capped from 1024 to 800 due to small dataset size (800 samples)
  Note: Batch size capped from 1024 to 800 due to small dataset size (800 samples)
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 1/500 [00:07<1:05:02,  7.82s/it]
  0%|          | 1/500 [00:07<1:05:02,  7.82s/it, MSE=2.904346e-01 H=2.360387e-01 dV_dx=4.674072e-07 dV_dθ=-5.439643e-02 ||∇||=1.770934e+00 | Tr=0.2821]
 33%|███▎      | 167/500 [00:45<01:33,  3.58it/s, MSE=2.775265e-02 H=2.775122e-02 dV_dx=3.353278e-08 dV_dθ=-1.461402e-06 ||∇||=1.713528e-02 | Tr=0.0280]
 33%|███▎      | 167/500 [00:45<01:33,  3.58it/s, MSE=2.774886e-02 H=2.774723e-02 dV_dx=-1.652364e-07 dV_dθ=-1.462441e-06 ||∇||=1.714162e-02 | Tr=0.0280]
 34%|███▎      | 168/500 [00:45<01:29,  3.69it/s, MSE=2.774886e-02 H=2.774723e-02 dV_dx=-1.652364e-07 dV_dθ=-1.462441e-06 ||∇||=1.714162e-02 | Tr=0.0280]
 34%|███▎      | 168/500 [00:46<01:29,  3.69it/s, MSE=2.774508e-02 H=2.774358e-02 dV_dx=-3.691858e-08 dV_dθ=-1.463461e-06 ||∇||=1.714788e-02 | Tr=0.0280]
 34%|███▍      | 169/500 [00:46<01:27,  3.77it/s, MSE=2.774508e-02 H=2.774358e-02 dV_dx=-3.691858e-08 dV_dθ=-1.463461e-06 ||∇||=1.714788e-02 | Tr=0.0280]
 34%|███▍      | 169/500 [00:46<01:27,  3.77it/s, MSE=2.774130e-02 H=2.773971e-02 dV_dx=-1.203854e-07 dV_dθ=-1.464461e-06 ||∇||=1.715407e-02 | Tr=0.0280]
 34%|███▍      | 170/500 [00:46<01:22,  3.99it/s, MSE=2.774130e-02 H=2.773971e-02 dV_dx=-1.203854e-07 dV_dθ=-1.464461e-06 ||∇||=1.715407e-02 | Tr=0.0280]
 34%|███▍      | 170/500 [00:46<01:22,  3.99it/s, MSE=2.773752e-02 H=2.773598e-02 dV_dx=-7.326057e-08 dV_dθ=-1.465442e-06 ||∇||=1.716019e-02 | Tr=0.0280]
 34%|███▍      | 171/500 [00:46<01:18,  4.18it/s, MSE=2.773752e-02 H=2.773598e-02 dV_dx=-7.326057e-08 dV_dθ=-1.465442e-06 ||∇||=1.716019e-02 | Tr=0.0280]
 34%|███▍      | 171/500 [00:46<01:18,  4.18it/s, MSE=2.773374e-02 H=2.773232e-02 dV_dx=5.375552e-08 dV_dθ=-1.466406e-06 ||∇||=1.716623e-02 | Tr=0.0280] 
 34%|███▍      | 172/500 [00:46<01:23,  3.94it/s, MSE=2.773374e-02 H=2.773232e-02 dV_dx=5.375552e-08 dV_dθ=-1.466406e-06 ||∇||=1.716623e-02 | Tr=0.0280]
 34%|███▍      | 172/500 [00:47<01:23,  3.94it/s, MSE=2.772996e-02 H=2.772868e-02 dV_dx=1.933031e-07 dV_dθ=-1.467352e-06 ||∇||=1.717221e-02 | Tr=0.0280]
 35%|███▍      | 173/500 [00:47<01:25,  3.84it/s, MSE=2.772996e-02 H=2.772868e-02 dV_dx=1.933031e-07 dV_dθ=-1.467352e-06 ||∇||=1.717221e-02 | Tr=0.0280]
 35%|███▍      | 173/500 [00:47<01:25,  3.84it/s, MSE=2.772618e-02 H=2.772477e-02 dV_dx=5.853104e-08 dV_dθ=-1.468280e-06 ||∇||=1.717810e-02 | Tr=0.0280]
 35%|███▍      | 174/500 [00:47<01:28,  3.69it/s, MSE=2.772618e-02 H=2.772477e-02 dV_dx=5.853104e-08 dV_dθ=-1.468280e-06 ||∇||=1.717810e-02 | Tr=0.0280]
 35%|███▍      | 174/500 [00:47<01:28,  3.69it/s, MSE=2.772240e-02 H=2.772088e-02 dV_dx=-5.036362e-08 dV_dθ=-1.469192e-06 ||∇||=1.718393e-02 | Tr=0.0280]
 35%|███▌      | 175/500 [00:47<01:28,  3.67it/s, MSE=2.772240e-02 H=2.772088e-02 dV_dx=-5.036362e-08 dV_dθ=-1.469192e-06 ||∇||=1.718393e-02 | Tr=0.0280]
 35%|███▌      | 175/500 [00:47<01:28,  3.67it/s, MSE=2.771862e-02 H=2.771711e-02 dV_dx=-4.372948e-08 dV_dθ=-1.470088e-06 ||∇||=1.718968e-02 | Tr=0.0280]
 35%|███▌      | 176/500 [00:47<01:23,  3.90it/s, MSE=2.771862e-02 H=2.771711e-02 dV_dx=-4.372948e-08 dV_dθ=-1.470088e-06 ||∇||=1.718968e-02 | Tr=0.0280]
 35%|███▌      | 176/500 [00:48<01:23,  3.90it/s, MSE=2.771485e-02 H=2.771330e-02 dV_dx=-7.478384e-08 dV_dθ=-1.470968e-06 ||∇||=1.719536e-02 | Tr=0.0280]
 35%|███▌      | 177/500 [00:48<01:21,  3.99it/s, MSE=2.771485e-02 H=2.771330e-02 dV_dx=-7.478384e-08 dV_dθ=-1.470968e-06 ||∇||=1.719536e-02 | Tr=0.0280]
 35%|███▌      | 177/500 [00:48<01:21,  3.99it/s, MSE=2.771108e-02 H=2.770958e-02 dV_dx=-2.154162e-08 dV_dθ=-1.471834e-06 ||∇||=1.720096e-02 | Tr=0.0280]
 36%|███▌      | 178/500 [00:48<01:18,  4.08it/s, MSE=2.771108e-02 H=2.770958e-02 dV_dx=-2.154162e-08 dV_dθ=-1.471834e-06 ||∇||=1.720096e-02 | Tr=0.0280]
 36%|███▌      | 178/500 [00:48<01:18,  4.08it/s, MSE=2.770730e-02 H=2.770593e-02 dV_dx=9.746058e-08 dV_dθ=-1.472684e-06 ||∇||=1.720649e-02 | Tr=0.0280] 
 36%|███▌      | 179/500 [00:48<01:19,  4.01it/s, MSE=2.770730e-02 H=2.770593e-02 dV_dx=9.746058e-08 dV_dθ=-1.472684e-06 ||∇||=1.720649e-02 | Tr=0.0280]
 36%|███▌      | 179/500 [00:48<01:19,  4.01it/s, MSE=2.770353e-02 H=2.770196e-02 dV_dx=-9.708878e-08 dV_dθ=-1.473520e-06 ||∇||=1.721194e-02 | Tr=0.0280]
 36%|███▌      | 180/500 [00:48<01:20,  3.98it/s, MSE=2.770353e-02 H=2.770196e-02 dV_dx=-9.708878e-08 dV_dθ=-1.473520e-06 ||∇||=1.721194e-02 | Tr=0.0280]
 36%|███▌      | 180/500 [00:49<01:20,  3.98it/s, MSE=2.769976e-02 H=2.769811e-02 dV_dx=-1.817675e-07 dV_dθ=-1.474343e-06 ||∇||=1.721733e-02 | Tr=0.0280]
 36%|███▌      | 181/500 [00:49<01:18,  4.05it/s, MSE=2.769976e-02 H=2.769811e-02 dV_dx=-1.817675e-07 dV_dθ=-1.474343e-06 ||∇||=1.721733e-02 | Tr=0.0280]
 36%|███▌      | 181/500 [00:49<01:18,  4.05it/s, MSE=2.769600e-02 H=2.769449e-02 dV_dx=-2.795121e-08 dV_dθ=-1.475152e-06 ||∇||=1.722263e-02 | Tr=0.0280]
 36%|███▋      | 182/500 [00:49<01:21,  3.90it/s, MSE=2.769600e-02 H=2.769449e-02 dV_dx=-2.795121e-08 dV_dθ=-1.475152e-06 ||∇||=1.722263e-02 | Tr=0.0280]
 36%|███▋      | 182/500 [00:49<01:21,  3.90it/s, MSE=2.769223e-02 H=2.769083e-02 dV_dx=7.500496e-08 dV_dθ=-1.475948e-06 ||∇||=1.722787e-02 | Tr=0.0280] 
 37%|███▋      | 183/500 [00:49<01:24,  3.74it/s, MSE=2.769223e-02 H=2.769083e-02 dV_dx=7.500496e-08 dV_dθ=-1.475948e-06 ||∇||=1.722787e-02 | Tr=0.0280]
 37%|███▋      | 183/500 [00:49<01:24,  3.74it/s, MSE=2.768847e-02 H=2.768677e-02 dV_dx=-2.179352e-07 dV_dθ=-1.476733e-06 ||∇||=1.723303e-02 | Tr=0.0280]
 37%|███▋      | 184/500 [00:49<01:25,  3.69it/s, MSE=2.768847e-02 H=2.768677e-02 dV_dx=-2.179352e-07 dV_dθ=-1.476733e-06 ||∇||=1.723303e-02 | Tr=0.0280]
 37%|███▋      | 184/500 [00:50<01:25,  3.69it/s, MSE=2.768471e-02 H=2.768321e-02 dV_dx=-1.767860e-08 dV_dθ=-1.477505e-06 ||∇||=1.723811e-02 | Tr=0.0280]
 37%|███▋      | 185/500 [00:50<01:23,  3.75it/s, MSE=2.768471e-02 H=2.768321e-02 dV_dx=-1.767860e-08 dV_dθ=-1.477505e-06 ||∇||=1.723811e-02 | Tr=0.0280]
 37%|███▋      | 185/500 [00:50<01:23,  3.75it/s, MSE=2.768095e-02 H=2.767942e-02 dV_dx=-4.597397e-08 dV_dθ=-1.478266e-06 ||∇||=1.724312e-02 | Tr=0.0280]
 37%|███▋      | 186/500 [00:50<01:18,  4.02it/s, MSE=2.768095e-02 H=2.767942e-02 dV_dx=-4.597397e-08 dV_dθ=-1.478266e-06 ||∇||=1.724312e-02 | Tr=0.0280]
 37%|███▋      | 186/500 [00:50<01:18,  4.02it/s, MSE=2.767719e-02 H=2.767589e-02 dV_dx=1.815854e-07 dV_dθ=-1.479016e-06 ||∇||=1.724806e-02 | Tr=0.0279] 
 37%|███▋      | 187/500 [00:50<01:15,  4.16it/s, MSE=2.767719e-02 H=2.767589e-02 dV_dx=1.815854e-07 dV_dθ=-1.479016e-06 ||∇||=1.724806e-02 | Tr=0.0279]
 37%|███▋      | 187/500 [00:50<01:15,  4.16it/s, MSE=2.767343e-02 H=2.767194e-02 dV_dx=-1.504662e-08 dV_dθ=-1.479755e-06 ||∇||=1.725292e-02 | Tr=0.0279]
 38%|███▊      | 188/500 [00:50<01:09,  4.47it/s, MSE=2.767343e-02 H=2.767194e-02 dV_dx=-1.504662e-08 dV_dθ=-1.479755e-06 ||∇||=1.725292e-02 | Tr=0.0279]
 38%|███▊      | 188/500 [00:51<01:09,  4.47it/s, MSE=2.766968e-02 H=2.766841e-02 dV_dx=2.085933e-07 dV_dθ=-1.480484e-06 ||∇||=1.725770e-02 | Tr=0.0279] 
 38%|███▊      | 189/500 [00:51<01:13,  4.23it/s, MSE=2.766968e-02 H=2.766841e-02 dV_dx=2.085933e-07 dV_dθ=-1.480484e-06 ||∇||=1.725770e-02 | Tr=0.0279]
 38%|███▊      | 189/500 [00:51<01:13,  4.23it/s, MSE=2.766593e-02 H=2.766463e-02 dV_dx=1.847932e-07 dV_dθ=-1.481204e-06 ||∇||=1.726241e-02 | Tr=0.0279]
 38%|███▊      | 190/500 [00:51<01:15,  4.10it/s, MSE=2.766593e-02 H=2.766463e-02 dV_dx=1.847932e-07 dV_dθ=-1.481204e-06 ||∇||=1.726241e-02 | Tr=0.0279]
 38%|███▊      | 190/500 [00:51<01:15,  4.10it/s, MSE=2.766218e-02 H=2.766057e-02 dV_dx=-1.241294e-07 dV_dθ=-1.481914e-06 ||∇||=1.726705e-02 | Tr=0.0279]
 38%|███▊      | 191/500 [00:51<01:17,  3.99it/s, MSE=2.766218e-02 H=2.766057e-02 dV_dx=-1.241294e-07 dV_dθ=-1.481914e-06 ||∇||=1.726705e-02 | Tr=0.0279]
 38%|███▊      | 191/500 [00:51<01:17,  3.99it/s, MSE=2.765843e-02 H=2.765683e-02 dV_dx=-1.231378e-07 dV_dθ=-1.482615e-06 ||∇||=1.727161e-02 | Tr=0.0279]
 38%|███▊      | 192/500 [00:51<01:13,  4.18it/s, MSE=2.765843e-02 H=2.765683e-02 dV_dx=-1.231378e-07 dV_dθ=-1.482615e-06 ||∇||=1.727161e-02 | Tr=0.0279]
 38%|███▊      | 192/500 [00:52<01:13,  4.18it/s, MSE=2.765469e-02 H=2.765316e-02 dV_dx=-4.912894e-08 dV_dθ=-1.483308e-06 ||∇||=1.727609e-02 | Tr=0.0279]
 39%|███▊      | 193/500 [00:52<01:13,  4.17it/s, MSE=2.765469e-02 H=2.765316e-02 dV_dx=-4.912894e-08 dV_dθ=-1.483308e-06 ||∇||=1.727609e-02 | Tr=0.0279]
 39%|███▊      | 193/500 [00:52<01:13,  4.17it/s, MSE=2.765095e-02 H=2.764941e-02 dV_dx=-5.788668e-08 dV_dθ=-1.483992e-06 ||∇||=1.728050e-02 | Tr=0.0279]
 39%|███▉      | 194/500 [00:52<01:09,  4.43it/s, MSE=2.765095e-02 H=2.764941e-02 dV_dx=-5.788668e-08 dV_dθ=-1.483992e-06 ||∇||=1.728050e-02 | Tr=0.0279]
 39%|███▉      | 194/500 [00:52<01:09,  4.43it/s, MSE=2.764721e-02 H=2.764550e-02 dV_dx=-2.264437e-07 dV_dθ=-1.484669e-06 ||∇||=1.728484e-02 | Tr=0.0279]
 39%|███▉      | 195/500 [00:52<01:15,  4.05it/s, MSE=2.764721e-02 H=2.764550e-02 dV_dx=-2.264437e-07 dV_dθ=-1.484669e-06 ||∇||=1.728484e-02 | Tr=0.0279]
 39%|███▉      | 195/500 [00:52<01:15,  4.05it/s, MSE=2.764348e-02 H=2.764231e-02 dV_dx=3.227938e-07 dV_dθ=-1.485339e-06 ||∇||=1.728909e-02 | Tr=0.0279] 
 39%|███▉      | 196/500 [00:52<01:09,  4.38it/s, MSE=2.764348e-02 H=2.764231e-02 dV_dx=3.227938e-07 dV_dθ=-1.485339e-06 ||∇||=1.728909e-02 | Tr=0.0279]
 39%|███▉      | 196/500 [00:53<01:09,  4.38it/s, MSE=2.763974e-02 H=2.763821e-02 dV_dx=-4.789501e-08 dV_dθ=-1.486002e-06 ||∇||=1.729328e-02 | Tr=0.0279]
 39%|███▉      | 197/500 [00:53<01:17,  3.90it/s, MSE=2.763974e-02 H=2.763821e-02 dV_dx=-4.789501e-08 dV_dθ=-1.486002e-06 ||∇||=1.729328e-02 | Tr=0.0279]
 39%|███▉      | 197/500 [00:53<01:17,  3.90it/s, MSE=2.763602e-02 H=2.763455e-02 dV_dx=2.220397e-08 dV_dθ=-1.486658e-06 ||∇||=1.729738e-02 | Tr=0.0279] 
 40%|███▉      | 198/500 [00:53<01:12,  4.15it/s, MSE=2.763602e-02 H=2.763455e-02 dV_dx=2.220397e-08 dV_dθ=-1.486658e-06 ||∇||=1.729738e-02 | Tr=0.0279]
 40%|███▉      | 198/500 [00:53<01:12,  4.15it/s, MSE=2.763229e-02 H=2.763072e-02 dV_dx=-7.977904e-08 dV_dθ=-1.487308e-06 ||∇||=1.730142e-02 | Tr=0.0279]
 40%|███▉      | 199/500 [00:53<01:13,  4.10it/s, MSE=2.763229e-02 H=2.763072e-02 dV_dx=-7.977904e-08 dV_dθ=-1.487308e-06 ||∇||=1.730142e-02 | Tr=0.0279]
 40%|███▉      | 199/500 [00:53<01:13,  4.10it/s, MSE=2.762857e-02 H=2.762696e-02 dV_dx=-1.166320e-07 dV_dθ=-1.487951e-06 ||∇||=1.730537e-02 | Tr=0.0279]
 40%|████      | 200/500 [00:53<01:15,  3.95it/s, MSE=2.762857e-02 H=2.762696e-02 dV_dx=-1.166320e-07 dV_dθ=-1.487951e-06 ||∇||=1.730537e-02 | Tr=0.0279]
 40%|████      | 200/500 [00:54<01:15,  3.95it/s, MSE=2.762485e-02 H=2.762333e-02 dV_dx=-2.898757e-08 dV_dθ=-1.488590e-06 ||∇||=1.730925e-02 | Tr=0.0279 Te/Cur=0.0279 Te/Exp=0.0279]
 40%|████      | 201/500 [00:54<01:29,  3.34it/s, MSE=2.762485e-02 H=2.762333e-02 dV_dx=-2.898757e-08 dV_dθ=-1.488590e-06 ||∇||=1.730925e-02 | Tr=0.0279 Te/Cur=0.0279 Te/Exp=0.0279]
 40%|████      | 201/500 [00:54<01:29,  3.34it/s, MSE=2.762113e-02 H=2.761983e-02 dV_dx=1.877954e-07 dV_dθ=-1.489223e-06 ||∇||=1.731305e-02 | Tr=0.0279]                             
 40%|████      | 202/500 [00:54<01:26,  3.44it/s, MSE=2.762113e-02 H=2.761983e-02 dV_dx=1.877954e-07 dV_dθ=-1.489223e-06 ||∇||=1.731305e-02 | Tr=0.0279]
 40%|████      | 202/500 [00:54<01:26,  3.44it/s, MSE=2.761742e-02 H=2.761583e-02 dV_dx=-9.735776e-08 dV_dθ=-1.489851e-06 ||∇||=1.731678e-02 | Tr=0.0279]
 41%|████      | 203/500 [00:54<01:23,  3.56it/s, MSE=2.761742e-02 H=2.761583e-02 dV_dx=-9.735776e-08 dV_dθ=-1.489851e-06 ||∇||=1.731678e-02 | Tr=0.0279]
 41%|████      | 203/500 [00:54<01:23,  3.56it/s, MSE=2.761371e-02 H=2.761194e-02 dV_dx=-2.745926e-07 dV_dθ=-1.490475e-06 ||∇||=1.732043e-02 | Tr=0.0279]
 41%|████      | 204/500 [00:54<01:20,  3.67it/s, MSE=2.761371e-02 H=2.761194e-02 dV_dx=-2.745926e-07 dV_dθ=-1.490475e-06 ||∇||=1.732043e-02 | Tr=0.0279]
 41%|████      | 204/500 [00:55<01:20,  3.67it/s, MSE=2.761000e-02 H=2.760861e-02 dV_dx=1.026649e-07 dV_dθ=-1.491094e-06 ||∇||=1.732401e-02 | Tr=0.0279] 
 41%|████      | 205/500 [00:55<01:22,  3.59it/s, MSE=2.761000e-02 H=2.760861e-02 dV_dx=1.026649e-07 dV_dθ=-1.491094e-06 ||∇||=1.732401e-02 | Tr=0.0279]
 41%|████      | 205/500 [00:55<01:22,  3.59it/s, MSE=2.760630e-02 H=2.760488e-02 dV_dx=7.247435e-08 dV_dθ=-1.491710e-06 ||∇||=1.732751e-02 | Tr=0.0279]
 41%|████      | 206/500 [00:55<01:20,  3.67it/s, MSE=2.760630e-02 H=2.760488e-02 dV_dx=7.247435e-08 dV_dθ=-1.491710e-06 ||∇||=1.732751e-02 | Tr=0.0279]
 41%|████      | 206/500 [00:55<01:20,  3.67it/s, MSE=2.760260e-02 H=2.760070e-02 dV_dx=-4.039469e-07 dV_dθ=-1.492322e-06 ||∇||=1.733093e-02 | Tr=0.0279]
 41%|████▏     | 207/500 [00:55<01:21,  3.59it/s, MSE=2.760260e-02 H=2.760070e-02 dV_dx=-4.039469e-07 dV_dθ=-1.492322e-06 ||∇||=1.733093e-02 | Tr=0.0279]
 41%|████▏     | 207/500 [00:56<01:21,  3.59it/s, MSE=2.759890e-02 H=2.759723e-02 dV_dx=-1.822432e-07 dV_dθ=-1.492930e-06 ||∇||=1.733427e-02 | Tr=0.0279]
 42%|████▏     | 208/500 [00:56<01:19,  3.67it/s, MSE=2.759890e-02 H=2.759723e-02 dV_dx=-1.822432e-07 dV_dθ=-1.492930e-06 ||∇||=1.733427e-02 | Tr=0.0279]
 42%|████▏     | 208/500 [00:56<01:19,  3.67it/s, MSE=2.759521e-02 H=2.759360e-02 dV_dx=-1.124968e-07 dV_dθ=-1.493536e-06 ||∇||=1.733754e-02 | Tr=0.0279]
 42%|████▏     | 209/500 [00:56<01:23,  3.49it/s, MSE=2.759521e-02 H=2.759360e-02 dV_dx=-1.124968e-07 dV_dθ=-1.493536e-06 ||∇||=1.733754e-02 | Tr=0.0279]
 42%|████▏     | 209/500 [00:56<01:23,  3.49it/s, MSE=2.759152e-02 H=2.758972e-02 dV_dx=-3.109003e-07 dV_dθ=-1.494138e-06 ||∇||=1.734074e-02 | Tr=0.0279]
 42%|████▏     | 210/500 [00:56<01:20,  3.60it/s, MSE=2.759152e-02 H=2.758972e-02 dV_dx=-3.109003e-07 dV_dθ=-1.494138e-06 ||∇||=1.734074e-02 | Tr=0.0279]
 42%|████▏     | 210/500 [00:56<01:20,  3.60it/s, MSE=2.758784e-02 H=2.758650e-02 dV_dx=1.630170e-07 dV_dθ=-1.494739e-06 ||∇||=1.734385e-02 | Tr=0.0279] 
 42%|████▏     | 211/500 [00:56<01:16,  3.77it/s, MSE=2.758784e-02 H=2.758650e-02 dV_dx=1.630170e-07 dV_dθ=-1.494739e-06 ||∇||=1.734385e-02 | Tr=0.0279]
 42%|████▏     | 211/500 [00:57<01:16,  3.77it/s, MSE=2.758416e-02 H=2.758243e-02 dV_dx=-2.260244e-07 dV_dθ=-1.495336e-06 ||∇||=1.734689e-02 | Tr=0.0279]
 42%|████▏     | 212/500 [00:57<01:20,  3.60it/s, MSE=2.758416e-02 H=2.758243e-02 dV_dx=-2.260244e-07 dV_dθ=-1.495336e-06 ||∇||=1.734689e-02 | Tr=0.0279]
 42%|████▏     | 212/500 [00:57<01:20,  3.60it/s, MSE=2.758048e-02 H=2.757920e-02 dV_dx=2.199039e-07 dV_dθ=-1.495932e-06 ||∇||=1.734985e-02 | Tr=0.0278] 
 43%|████▎     | 213/500 [00:57<01:12,  3.96it/s, MSE=2.758048e-02 H=2.757920e-02 dV_dx=2.199039e-07 dV_dθ=-1.495932e-06 ||∇||=1.734985e-02 | Tr=0.0278]
 43%|████▎     | 213/500 [00:57<01:12,  3.96it/s, MSE=2.757681e-02 H=2.757509e-02 dV_dx=-2.229156e-07 dV_dθ=-1.496526e-06 ||∇||=1.735274e-02 | Tr=0.0278]
 43%|████▎     | 214/500 [00:57<01:12,  3.93it/s, MSE=2.757681e-02 H=2.757509e-02 dV_dx=-2.229156e-07 dV_dθ=-1.496526e-06 ||∇||=1.735274e-02 | Tr=0.0278]
 43%|████▎     | 214/500 [00:57<01:12,  3.93it/s, MSE=2.757314e-02 H=2.757174e-02 dV_dx=9.482790e-08 dV_dθ=-1.497119e-06 ||∇||=1.735555e-02 | Tr=0.0278] 
 43%|████▎     | 215/500 [00:57<01:08,  4.16it/s, MSE=2.757314e-02 H=2.757174e-02 dV_dx=9.482790e-08 dV_dθ=-1.497119e-06 ||∇||=1.735555e-02 | Tr=0.0278]
 43%|████▎     | 215/500 [00:58<01:08,  4.16it/s, MSE=2.756948e-02 H=2.756822e-02 dV_dx=2.465473e-07 dV_dθ=-1.497710e-06 ||∇||=1.735828e-02 | Tr=0.0278]
 43%|████▎     | 216/500 [00:58<01:07,  4.18it/s, MSE=2.756948e-02 H=2.756822e-02 dV_dx=2.465473e-07 dV_dθ=-1.497710e-06 ||∇||=1.735828e-02 | Tr=0.0278]
 43%|████▎     | 216/500 [00:58<01:07,  4.18it/s, MSE=2.756582e-02 H=2.756400e-02 dV_dx=-3.180562e-07 dV_dθ=-1.498301e-06 ||∇||=1.736094e-02 | Tr=0.0278]
 43%|████▎     | 217/500 [00:58<01:12,  3.90it/s, MSE=2.756582e-02 H=2.756400e-02 dV_dx=-3.180562e-07 dV_dθ=-1.498301e-06 ||∇||=1.736094e-02 | Tr=0.0278]
 43%|████▎     | 217/500 [00:58<01:12,  3.90it/s, MSE=2.756216e-02 H=2.756079e-02 dV_dx=1.322562e-07 dV_dθ=-1.498890e-06 ||∇||=1.736352e-02 | Tr=0.0278] 
 44%|████▎     | 218/500 [00:58<01:11,  3.97it/s, MSE=2.756216e-02 H=2.756079e-02 dV_dx=1.322562e-07 dV_dθ=-1.498890e-06 ||∇||=1.736352e-02 | Tr=0.0278]
 44%|████▎     | 218/500 [00:58<01:11,  3.97it/s, MSE=2.755851e-02 H=2.755700e-02 dV_dx=-9.131027e-09 dV_dθ=-1.499479e-06 ||∇||=1.736602e-02 | Tr=0.0278]
 44%|████▍     | 219/500 [00:58<01:11,  3.94it/s, MSE=2.755851e-02 H=2.755700e-02 dV_dx=-9.131027e-09 dV_dθ=-1.499479e-06 ||∇||=1.736602e-02 | Tr=0.0278]
 44%|████▍     | 219/500 [00:59<01:11,  3.94it/s, MSE=2.755486e-02 H=2.755333e-02 dV_dx=-2.766564e-08 dV_dθ=-1.500068e-06 ||∇||=1.736845e-02 | Tr=0.0278]
 44%|████▍     | 220/500 [00:59<01:11,  3.90it/s, MSE=2.755486e-02 H=2.755333e-02 dV_dx=-2.766564e-08 dV_dθ=-1.500068e-06 ||∇||=1.736845e-02 | Tr=0.0278]
 44%|████▍     | 220/500 [00:59<01:11,  3.90it/s, MSE=2.755122e-02 H=2.754956e-02 dV_dx=-1.598690e-07 dV_dθ=-1.500656e-06 ||∇||=1.737080e-02 | Tr=0.0278]
 44%|████▍     | 221/500 [00:59<01:09,  4.02it/s, MSE=2.755122e-02 H=2.754956e-02 dV_dx=-1.598690e-07 dV_dθ=-1.500656e-06 ||∇||=1.737080e-02 | Tr=0.0278]
 44%|████▍     | 221/500 [00:59<01:09,  4.02it/s, MSE=2.754758e-02 H=2.754644e-02 dV_dx=3.561730e-07 dV_dθ=-1.501244e-06 ||∇||=1.737307e-02 | Tr=0.0278] 
 44%|████▍     | 222/500 [00:59<01:11,  3.91it/s, MSE=2.754758e-02 H=2.754644e-02 dV_dx=3.561730e-07 dV_dθ=-1.501244e-06 ||∇||=1.737307e-02 | Tr=0.0278]
 44%|████▍     | 222/500 [00:59<01:11,  3.91it/s, MSE=2.754395e-02 H=2.754220e-02 dV_dx=-2.515573e-07 dV_dθ=-1.501832e-06 ||∇||=1.737527e-02 | Tr=0.0278]
 45%|████▍     | 223/500 [00:59<01:14,  3.70it/s, MSE=2.754395e-02 H=2.754220e-02 dV_dx=-2.515573e-07 dV_dθ=-1.501832e-06 ||∇||=1.737527e-02 | Tr=0.0278]
 45%|████▍     | 223/500 [01:00<01:14,  3.70it/s, MSE=2.754032e-02 H=2.753887e-02 dV_dx=4.784705e-08 dV_dθ=-1.502421e-06 ||∇||=1.737739e-02 | Tr=0.0278] 
 45%|████▍     | 224/500 [01:00<01:10,  3.90it/s, MSE=2.754032e-02 H=2.753887e-02 dV_dx=4.784705e-08 dV_dθ=-1.502421e-06 ||∇||=1.737739e-02 | Tr=0.0278]
 45%|████▍     | 224/500 [01:00<01:10,  3.90it/s, MSE=2.753670e-02 H=2.753491e-02 dV_dx=-2.800366e-07 dV_dθ=-1.503010e-06 ||∇||=1.737943e-02 | Tr=0.0278]
 45%|████▌     | 225/500 [01:00<01:12,  3.80it/s, MSE=2.753670e-02 H=2.753491e-02 dV_dx=-2.800366e-07 dV_dθ=-1.503010e-06 ||∇||=1.737943e-02 | Tr=0.0278]
 45%|████▌     | 225/500 [01:00<01:12,  3.80it/s, MSE=2.753308e-02 H=2.753156e-02 dV_dx=-8.802286e-09 dV_dθ=-1.503600e-06 ||∇||=1.738140e-02 | Tr=0.0278]
 45%|████▌     | 226/500 [01:00<01:14,  3.70it/s, MSE=2.753308e-02 H=2.753156e-02 dV_dx=-8.802286e-09 dV_dθ=-1.503600e-06 ||∇||=1.738140e-02 | Tr=0.0278]
 45%|████▌     | 226/500 [01:00<01:14,  3.70it/s, MSE=2.752946e-02 H=2.752778e-02 dV_dx=-1.766614e-07 dV_dθ=-1.504191e-06 ||∇||=1.738329e-02 | Tr=0.0278]
 45%|████▌     | 227/500 [01:00<01:12,  3.75it/s, MSE=2.752946e-02 H=2.752778e-02 dV_dx=-1.766614e-07 dV_dθ=-1.504191e-06 ||∇||=1.738329e-02 | Tr=0.0278]
 45%|████▌     | 227/500 [01:01<01:12,  3.75it/s, MSE=2.752585e-02 H=2.752446e-02 dV_dx=1.135570e-07 dV_dθ=-1.504783e-06 ||∇||=1.738510e-02 | Tr=0.0278] 
